country,co2index
Chad,101966.66666666667
Laos,81920
Mali,47612.5
"Congo, Democratic Republic Of The",46457.14285714286
Taiwan,44990.01996007984
Uganda,31455.555555555555
Burundi,26306.666666666668
Burkina Faso,23564.285714285717
Niger,22388.88888888889
Lesotho,20063.333333333332
Ethiopia,18784.94623655914
Malta,18384.58938830686
Tanzania,15060
El Salvador,12688.744789254284
Sudan,12592.857142857143
Madagascar,12493.333333333334
Cameroon,11883.076923076924
Guinea,11485.714285714284
Eritrea,11461.25
Nigeria,11226.80412371134
Malawi,11157.894736842105
Ghana,10981.818181818182
Costa Rica,10407.03781512605
South Sudan,10357.142857142857
Peru,10009.756097560976
Guatemala,9691.176470588236
Cote D'Ivoire,9685.380767092829
Ireland,9470.588235294117
Haiti,9209.52380952381
Philippines,9171.59090909091
Mozambique,8976.923076923076
Cabo Verde,8957.5
Bermuda,8663.333333333334
Equatorial Guinea,8586.486486486487
Botswana,8159.090909090909
Dominica,8120
Sweden,8033.870967741936
Central African Republic,8015
Albania,7883.720930232558
Sierra Leone,7600
Morocco,7251.282051282052
France,6999.48132780083
Tajikistan,6975.675675675676
Norway,6766.233766233766
Portugal,6755.343337880855
Estonia,6712.068965517241
Nicaragua,6451.923076923076
Denmark,6304.761904761905
Comoros,6295
Tunisia,6228.571428571429
Falkland Islands (Islas Malvinas),6183.892912003511
Italy,6135.359116022099
Spain,6123.188405797101
Hungary,6054.298642533938
Gabon,5996.666666666667
Brazil,5758.878504672897
Angola,5727.272727272727
Panama,5477.64705882353
Senegal,5441.095890410959
Belgium,5432.59987182226
Slovakia,5427.652733118971
Germany,5348.118279569892
Egypt,5338.16425120773
Turkey,5322.884012539185
Lebanon,5322.5
Austria,5280.101394169836
Somalia,5243.333333333333
Samoa,5230
Saint Lucia,5207.500000000001
Cayman Islands,5014
French Polynesia,4990.909090909091
Fiji,4925.882352941177
Bolivia,4916.25
United Kingdom,4905.859581207109
Iceland,4893.939393939393
Ecuador,4800
Mauritius,4787.037037037037
Slovenia,4779.720279720279
Algeria,4760.9375
Saint Kitts And Nevis,4756.666666666667
Israel,4752
Netherlands,4712.121212121212
"Congo, Republic Of The",4656.923076923077
Maldives,4505.833333333333
Belize,4411.428571428572
Iraq,4355.474452554745
Argentina,4353.465346534654
Honduras,4319
New Caledonia,4308
Saint Vincent And The Grenadines,4136.666666666667
Solomon Islands,3993.3333333333335
Thailand,3857.1428571428573
Macedonia,3736.7088607594937
Moldova,3725.8842443729905
Antigua And Barbuda,3618.3333333333335
Kiribati,3609.923011120616
Guyana,3559.4117647058824
Poland,3554.054054054054
United States,3435.7645316549424
Yemen,3338.6363636363635
"Korea, South",3227.098281328216
Cyprus,3215.3846153846152
Turks And Caicos Islands,3160
Western Sahara,3021.6666666666665
Canada,2968.0851063829787
Saudi Arabia,2914.1414141414143
Bulgaria,2866.5865384615386
Niue,2843.75
Kuwait,2814.0186915887853
Aruba,2795.5555555555557
Tonga,2785
United Arab Emirates,2723.265306122449
Guam,2712.222222222222
Mongolia,2642.8571428571427
Oman,2508.695652173913
Faroe Islands,2501.25
Venezuela,2492.553191489362
Kosovo,2440.6019007391765
Singapore,2380
China,2314.1762452107278
Iran,2243.2349323493236
Kyrgyzstan,2235.1063829787236
"Bahamas, The",2211.219512195122
Russia,2136.104783599089
Seychelles,1862.857142857143
Kazakhstan,1818.4639255236618
Serbia,1800.1768346595932
Libya,1594.561403508772
Turkmenistan,1413.7313432835822
Cook Islands,1220.5
Syria,1026.1224489795918
Trinidad And Tobago,907.7083333333334
Nauru,754
Marshall Islands,600
Montserrat,497.44347233268945
Virgin Islands,403.40425531914894
